label,R_mean,G_mean,B_mean,R_std,G_std,B_std,Aspect_Ratio,Area,Perimeter,Homogeneity,Contrast
screw,0.1320914665934136,0.1388043012110001,0.1465538905162904,0.3219138487366013,0.3606803363370582,0.3429899140830135,0.0529100529100529,0.156015132408575,0.1579422201107295,0.8129875716137726,0.1578715186571603
screw,0.1224319353256674,0.1100767346723679,0.1125374211712534,0.3326003068538274,0.3202194583656361,0.2976218503270244,0.1627705627705627,0.1192938209331651,0.1750045352272679,0.851489654854246,0.0683356000768801
screw,0.0659408450900923,0.0597192400328593,0.0621275471140803,0.2326823696752346,0.2256238093183035,0.2140540391623812,0.6,0.0641614123581336,0.1786089535059289,0.9192767238712328,0.0278578449767071
screw,0.1503935681212026,0.132255836577901,0.1344778331873479,0.3834544429552476,0.3616366843618372,0.3351054883714087,0.0372670807453416,0.1383606557377049,0.1528171947373102,0.8304218747795559,0.1667578367395502
plug,0.1237205330430894,0.124555755301175,0.139606470250461,0.3426072044190164,0.3699576680117046,0.3763193784826638,0.0324514991181657,0.1114249684741488,0.1630867662572911,0.8306823507564004,0.2135363945049011
nail,0.1334284647601514,0.1187293318097495,0.1209900269654205,0.3609509999614548,0.346133889925483,0.3239446087653193,0.0554785020804438,0.0977553593947036,0.2745038429704881,0.7093362514883158,0.1539354023851145
screw,0.105713911181403,0.1012676406816854,0.1039299802444994,0.2911375338320282,0.3004138892672938,0.2794178479206978,0.018796992481203,0.1133921815889029,0.1536550979242993,0.8505445668795281,0.1835505075003889
screw,0.0706039419402622,0.0661569186319222,0.0681604522947255,0.248281907302849,0.248294880754391,0.2328322371089952,0.0781954887218045,0.0724337957124842,0.1220889367319511,0.9091297070865476,0.0546682164724833
plug,0.7238999690749445,0.6905160618393017,0.7660532786158947,0.894320064806947,0.913772129055272,0.9183282341109662,0.0591133004926108,0.4572509457755359,0.298553142318227,0.3638787683491225,0.255832401314284
screw,0.1971359917886274,0.1890991948496322,0.2109862756573766,0.4249389946646181,0.4222212347790252,0.4066445010676368,0.0554785020804438,0.2047919293820933,0.3234736703743813,0.6547149676726954,0.1215498302230439
nail,0.1616840227914046,0.145111196704821,0.1567620363237374,0.295559262407126,0.2758302998577896,0.2669616397440943,0.0738095238095238,0.0909962168978562,0.2421883233920054,0.5832944054835602,0.1350443433613091
screw,0.0155418699564441,0.0223431011910925,0.0304776929014812,0.0664784792243358,0.1023137386072109,0.1216746136441283,0.0460554371002132,0.0196721311475409,0.1740528474830652,0.8964247646842946,0.0857860718829225
screw,0.0903102519453321,0.0773052914780407,0.0769774264531725,0.3267716832490997,0.3014908146261028,0.272660126218517,0.0626728110599078,0.0678940731399747,0.1546791565534493,0.8855188869335654,0.1153402586467266
nail,0.0704968366724679,0.0607294141154915,0.0636284005910527,0.1325226767833855,0.1207117048451072,0.1153171359395073,0.0571428571428571,0.0102395964691046,0.0487284557360927,0.7239244987256307,0.0851433539872415
screw,0.1600898290746508,0.1522077166623228,0.1651106133789389,0.3475280415634175,0.3496415150432207,0.3419768397103713,0.064516129032258,0.1945018915510719,0.1775296763607977,0.7842055951504495,0.106420406183359
screw,0.092533181413357,0.1085392536389315,0.1308331260379066,0.2125383322619465,0.2603404851935265,0.2763707196378497,0.0505175983436853,0.063203026481715,0.319414115584622,0.6756581188732728,0.2490256541675438
